,date,tweet,cleaned_tweet
1,2021-10-01 17:29:13,$BTC Has broken out. Flip 45.2K and we're ready to move even higher.  Funding is very favorable for the bulls as well.  Trade here:  https://t.co/VZNADvrnZu  https://t.co/hy12avDGO5,$BTC Has broken out. Flip 45.2K and we're ready to move even higher.  Funding is very favorable for the bulls as well.  Trade here:  ://
4,2021-10-01 17:26:56,#Bitcoin Legendary accuracy ✅, Legendary accuracy ✅
5,2021-10-01 17:26:24,$BTC Nothing can turn around sentiment quicker than going into Q4 combined with a pump.,$BTC Nothing can turn around sentiment quicker than going into Q4 combined with a pump.
7,2021-10-01 17:26:06,"📈💶$6,066,415 $BTC LONGED @$44946.0 [01/10/21 09:26:06] 🏪FTX | BTC-PERP  🗣️Coinbase ""Scheduled Maintenance"" - altnewsfollower","📈💶$6,066,415 $BTC LONGED @$44946.0 [01/10/21 09:26:06] 🏪FTX | BTC-PERP  🗣️Coinbase ""Scheduled Maintenance"" - altnewsfollower"
10,2021-10-01 17:23:00,"$BTC: Quick chart. IMO you generally see 3 types of price action (uptrend, downtrend, ranging). To me, if we see a break of 53k, it's now a confirmed uptrend on the 1D and a bullish break in market structure to the upside. I'm still bullish myself.  #Bitcoin  https://t.co/S5v4FRkmQr","$BTC: Quick chart. IMO you generally see 3 types of price action (uptrend, downtrend, ranging). To me, if we see a break of 53k, it's now a confirmed uptrend on the 1D and a bullish break in market structure to the upside. I'm still bullish myself.    "
12,2021-10-01 17:21:14,👀 #cryptosocy #onchain #Bitcoin,👀   
16,2021-10-01 17:18:31,"We’re finally here in Q4, quitting job in a week, $BTC and $ALTS have to moon by default because I’m unemployed now send everything 🚀🚀🚀🚀🚀 #bitcoin","We’re finally here in Q4, quitting job in a week, $BTC and $ALTS have to moon by default because I’m unemployed now send everything 🚀🚀🚀🚀🚀 "
19,2021-10-01 17:17:56,Extreme Fear precedes financial opportunity  #BTC #Crypto #Bitcoin,Extreme Fear precedes financial opportunity    
21,2021-10-01 17:16:27,"In a world full of lies,  #Bitcoin is truth.","In a world full of lies,   is truth."
23,2021-10-01 17:16:13,"Welcome to Q4 2021, lets start the pampu. 🚀  #Bitcoin","Welcome to Q4 2021, lets start the pampu. 🚀  "
25,2021-10-01 17:15:24,"When #BTC goes bull, jump on #ETH #XRP #XLM #DGB as they tend to outperform #BTC in bull markets in Q4.","When  goes bull, jump on     as they tend to outperform  in bull markets in Q4."
30,2021-10-01 17:14:28,"#Bitcoin LTF Update Extended yellow box to right as S/R and done some updates with red boxes. Current level has importance, you can check my HTF analysis for that. Since we're at where recent sellers were active, you should not be looking for fresh longs yet. Be patient for that  https://t.co/hMknihRWCb"," LTF Update Extended yellow box to right as S/R and done some updates with red boxes. Current level has importance, you can check my HTF analysis for that. Since we're at where recent sellers were active, you should not be looking for fresh longs yet. Be patient for that  "
31,2021-10-01 17:13:07,#Bitcoin bullish breakout? Is it time for a massive Q4?  Check the update here:  https://t.co/fvaxhjtTt0  Don't forget to subscribe!, bullish breakout? Is it time for a massive Q4?  Check the update here:  't forget to subscribe!
38,2021-10-01 17:11:00,Vote for me 🗳️ / Vótame 🗳️ 👇👇👇👇👇👇👇  https://t.co/3urdswn6SS  53 Best Porn Trans 113 Best Role Play Model 137 Sexiest Instagrammer 261 Best Fetish Trans Star  🏆 @EroAwardBTC  #EroAward  #EroAward2021 #MostVotedAward  #EroAwardArmy  #Bitcoin  #BTC   📸 @ConradSonX  https://t.co/J2r4Buuwv1,Vote for me 🗳️ / Vótame 🗳️ 👇👇👇👇👇👇👇  🏆               📸   
40,2021-10-01 17:10:34,Bitcoin UPtober really understood the assignment 👀  https://t.co/ajquRSLYf6,Bitcoin UPtober really understood the assignment 👀  
