,date,tweet,cleaned_tweet,sentiment
1,2021-10-01 17:29:13,$BTC Has broken out. Flip 45.2K and we're ready to move even higher.  Funding is very favorable for the bulls as well.  Trade here:  https://t.co/VZNADvrnZu  https://t.co/hy12avDGO5,$BTC Has broken out. Flip 45.2K and we're ready to move even higher.  Funding is very favorable for the bulls as well.  Trade here:  ://,0.9981847405433655
4,2021-10-01 17:26:56,#Bitcoin Legendary accuracy ✅, Legendary accuracy ✅,0.9679099321365356
5,2021-10-01 17:26:24,$BTC Nothing can turn around sentiment quicker than going into Q4 combined with a pump.,$BTC Nothing can turn around sentiment quicker than going into Q4 combined with a pump.,0.0013630986213684082
7,2021-10-01 17:26:06,"📈💶$6,066,415 $BTC LONGED @$44946.0 [01/10/21 09:26:06] 🏪FTX | BTC-PERP  🗣️Coinbase ""Scheduled Maintenance"" - altnewsfollower","📈💶$6,066,415 $BTC LONGED @$44946.0 [01/10/21 09:26:06] 🏪FTX | BTC-PERP  🗣️Coinbase ""Scheduled Maintenance"" - altnewsfollower",0.004417836666107178
10,2021-10-01 17:23:00,"$BTC: Quick chart. IMO you generally see 3 types of price action (uptrend, downtrend, ranging). To me, if we see a break of 53k, it's now a confirmed uptrend on the 1D and a bullish break in market structure to the upside. I'm still bullish myself.  #Bitcoin  https://t.co/S5v4FRkmQr","$BTC: Quick chart. IMO you generally see 3 types of price action (uptrend, downtrend, ranging). To me, if we see a break of 53k, it's now a confirmed uptrend on the 1D and a bullish break in market structure to the upside. I'm still bullish myself.    ",0.0010004639625549316
12,2021-10-01 17:21:14,👀 #cryptosocy #onchain #Bitcoin,👀   ,0.011864900588989258
16,2021-10-01 17:18:31,"We’re finally here in Q4, quitting job in a week, $BTC and $ALTS have to moon by default because I’m unemployed now send everything 🚀🚀🚀🚀🚀 #bitcoin","We’re finally here in Q4, quitting job in a week, $BTC and $ALTS have to moon by default because I’m unemployed now send everything 🚀🚀🚀🚀🚀 ",0.0010913610458374023
19,2021-10-01 17:17:56,Extreme Fear precedes financial opportunity  #BTC #Crypto #Bitcoin,Extreme Fear precedes financial opportunity    ,0.023032546043395996
21,2021-10-01 17:16:27,"In a world full of lies,  #Bitcoin is truth.","In a world full of lies,   is truth.",0.8881357312202454
23,2021-10-01 17:16:13,"Welcome to Q4 2021, lets start the pampu. 🚀  #Bitcoin","Welcome to Q4 2021, lets start the pampu. 🚀  ",0.025441229343414307
25,2021-10-01 17:15:24,"When #BTC goes bull, jump on #ETH #XRP #XLM #DGB as they tend to outperform #BTC in bull markets in Q4.","When  goes bull, jump on     as they tend to outperform  in bull markets in Q4.",0.0013709068298339844
